tag,citation,expmm,expyy,make,state,location,violCode,Description,violFine,violDate,balance,penaltyDate,openFine,openPenalty,noticeDate,ImportDate
5DKN58,58065871,09,13,CHEV,MD,PULASKI WB @ MORAVIA,30,Red Light Violation,$75.00,07/04/2012 11:58:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
5AF5778,79618740,03,13,TOYT,MD,E/S 4534 ERDMAN AVE,26,No Stop/Park Handicap,$502.00,07/04/2012 11:53:00 PM,$502.00,,$502.00,$0.00,,07/18/2012 11:02:00 AM +0000
3AC3617,58065863,07,12,ACUR,MD,LIBERTY EB @ HILLSDALE,30,Red Light Violation,$75.00,07/04/2012 11:46:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
2AM6178,79618732,11,13,CHRY,MD,534 ERDMAN AVENUE,26,No Stop/Park Handicap,$502.00,07/04/2012 11:44:00 PM,$502.00,,$502.00,$0.00,,07/13/2012 11:04:00 AM +0000
9DAS03,58065855,06,13,CHEV,MD,HILLEN WB @ FORREST,30,Red Light Violation,$75.00,07/04/2012 11:37:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
59907M9,58065848,06,14,NISS,MD,NORTHERN WB @ GREENSPRING,30,Red Light Violation,$75.00,07/04/2012 11:36:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
WYJ7303,58065830,02,2,JEEP,VA,FAYETTE WB @ LIBERTY,30,Red Light Violation,$75.00,07/04/2012 11:32:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
6AS0597,79618724,06,13,FORD,MD,E/S 4000 EIREMAN AV,99,All Other Stopping or Parking Violations,$32.00,07/04/2012 11:25:00 PM,$32.00,,$32.00,$0.00,,07/18/2012 11:02:00 AM +0000
8AF8979,58065822,03,14,LEXU,MD,NORTHERN EB @ GREENSPRING,30,Red Light Violation,$75.00,07/04/2012 11:25:00 PM,$75.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
1FXF29,58065954,02,14,TOYT,MD,FRANKLIN WB @ CATHEDRAL,30,Red Light Violation,$75.00,07/04/2012 11:24:00 PM,$0.00,,$75.00,$0.00,,07/17/2012 11:02:00 AM +0000
